BuildingName,DataYear
MERCER/YALE BLDG - 1260 MERCER,2020
4727 BUILDING,2020
McKinstry 220 South Dawson,2020
IRIDIO - (OLD WESTERN CARTAGE),2020
635 ELLIOTT - SOUTH BUILDING,2020
CASCADE DESIGNS INC (Baja),2020
Uwajimaya (Seattle 5),2020
MERLINO FOODS,2020
WALLINGFORD CENTER,2020
GILEAD SCIENCES BLDG. (ALEXANDRIA R.E.)  ECON. UNI,2020
1201 EASTLAKE AVE E (ZymoGenetics),2020
AGC BUILDING & BANK,2020
LAKE UNION BUILDING & YACHT HARBOR MARINA OFFICE BUILDING,2020
NWCP BLDG U,2020
SAFEWAY 1965,2020
MERRILL PLACE HAMBACH - SELLER BUILDING,2020
HERITAGE BUILDING,2020
WESTLAND BUILDING-DSHS,2020
GLOBE BUILDING,2020
GRAND CENTRAL BUILDING,2020
INTERURBAN BUILDING (OLD SMITH TOWER ANNEX BUILDING),2020
OCCIDENTAL MALL,2020
COURT IN THE SQUARE (Goldsmith & Northcoast),2020
PACIFIC COMMERCIAL BUILDING,2020
PREFONTAINE BUILDING,2020
KING STREET STATION-BNRR/AMTRAK,2020
PACIFIC OFFICE AUTOMATION (ROMAC INDUSTRIES WHSE),2020
PACIFIC GALLERIES ANTIQUE MALL,2020
HULLIN TRANSFER BUILDING,2020
OCCIDENTAL WAREHOUSE,2020
2200 1ST AVE S,2020
UNITED WAREHOUSE CO,2020
ROEBLING BLDG,2020
PALMER BLDG,2020
1016 1ST AVE BLDG,2020
THE REEDO BUILDING,2020
NORDIC COLD STORAGE COMPANY,2020
PROVIDENT BUILDING,2020
83 KING STREET,2020
505 FIRST AVENUE BUILDING,2020
1201 BUILDING,2020
STADIUM INNOVATION CENTER,2020
OUTDOOR RESEARCH,2020
GREEN ROOM,2020
STARBUCKS (SODO) CENTER - Campus,2020
HOME DEPOT - Sodo,2020
FERGUSON,2020
INscape ARTS BUILDING,2020
45TH STREET PLAZA,2020
BIOMED FAIRVIEW RESEARCH CENTER,2020
WEST SEATTLE CORPORATE CENTER,2020
AIRPORT WAY SOUTH,2020
TASHIRO-KAPLAN BUILDING CONDO/MIXED USE,2020
ARNOLD PAVILLION,2020
2200 WESTLAKE,2020
505 UNION STATION,2020
RUSSELL INVESTMENTS CENTER,2020
1505 5TH AVE,2020
NORDSTROM ELMER J MEDICAL TOWER CONDOMINIUM,2020
JEFFERSON TOWER,2020
HOME DEPOT,2020
7TH & MADISON OFFICE BLDG. -(THE POLYCLINIC),2020
HARBORVIEW MEDICAL CENTER - Ninth & Jefferson Bldg,2020
CABRINI MEDICAL TOWER,2020
COLMAN BUILDING,2020
MUTUAL LIFE BUILDING,2020
RDA BUILDING,2020
1633 WESTLAKE BUILDING,2020
WEST SEATTLE HEALTH CLUB,2020
RAINIER SQUARE PLAZA,2020
LEGACY CENTRE & ARBOR PLACE CONDO,2020
818 STEWART,2020
FREMONT VILLAGE SQUARE-redevelopment,2020
INTERNATIONAL DISTRICT VILLAGE SQUARE 2,2020
MARKETPLACE AT QUEEN ANNE SHOPPING CENTER,2020
ONE CONVENTION PLACE,2020
OLYMPIC TOWER CONDOMINIUMS,2020
2323 ELLIOTT - PARKING & OFFICE,2020
QUEEN ANNE SQUARE EAST,2020
Rainier Brewery (Rainier Commons),2020
SALMON BAY WATERWAY,2020
WHOLE FOODS INTERBAY,2020
STAPLES BUILDING,2020
THE END OF ELLIOTT COMPLEX,2020
ELLIOTT WEST BLDG 3 - CELL THEREPEUTICS/ADMIN. OFF,2020
401 ELLIOTT WEST,2020
CLEAR CHANNEL (ACKERLY)- BLDG 1,2020
333 ELLIOTT,2020
SEATTLE POST INTELLIGENCER,2020
3131 ELLIOTT BLDG,2020
PIER 69,2020
WORLD TRADE CENTER NORTH,2020
PUBLIC STORAGE (STORE 8495),2020
51 UNIVERSITY (SCHWABACHER BLDG.),2020
NATIONAL BUILDING,2020
MARITIME BUILDING,2020
POLSON BUILDING,2020
WESTERN BUILDING,2020
Airport Way Ctr - Bldg C,2020
HOLGATE CENTER,2020
MACMILLAN-PIPER EYRES WAREHOUSE,2020
6TH & HOLGATE BUILDING,2020
INDUSTRIAL TRANSFER WHSE,2020
NORTH COAST ELECTRIC ETC,2020
OWL TRANSFER,2020
ESQUIN,2020
PACIFIC IRON & METAL,2020
GOODWILL BUILDING,2020
KING COUNTY METRO RYERSON BASE VEHICLE MAINTENANCE AND OPERATIONS,2020
FRED MEYER GREENWOOD,2020
1455 LEARY BUILDING,2020
SEA MARINE AND FISH SUPPLY CO,2020
UW BENJAMIN HALL INTERDISCIPLINARY R&T,2020
LAKEVIEW AT FREMONT,2020
THE CANAL VIEW BUILDING,2020
1000 DEXTER PHASE II,2020
1100 EASTLAKE - (2013),2020
1208 Eastlake Ave E (Dendreon),2020
WEST TOWER,2020
190 QUEEN ANNE,2020
PIER 70,2020
FOURTH & VINE BLDG,2020
SEATTLE CHILDREN'S HOSPITAL RESEARCH BUILDING #2,2020
BLANCHARD PLAZA,2020
ACTIVE VOICE  BUILDING (FORMERLY SIXTH & LENORA),2020
THE WESTIN BUILDING EXCHANGE (Office),2020
720 OLIVE BLDG,2020
MEDICAL DENTAL BUILDING,2020
OLD NAVY,2020
MARKET PLACE ONE & TWO,2020
PACIFIC PLACE,2020
ODD FELLOWS LODGE - RETAIL,2020
TWO PINE,2020
ROSS DRESS FOR LESS,2020
KRESS BUILDING,2020
MARKET SQUARE,2020
FINANCIAL CENTER,2020
SEATTLE TOWER,2020
1200 3RD AVENUE,2020
1015 THIRD AVENUE BLDG - EXPEDITORS INTERNATIONAL,2020
1201 WESTERN BUILDING,2020
UNITED WAY,2020
HOGE BUILDING,2020
BANK OF AMERICA FIFTH AVENUE PLAZA,2020
SEIU LOCAL 775- SEATTLE BUILDING,2020
PACIFIC BUILDING,2020
COLUMBIA CENTER,2020
FIRST HILL MEDICAL BUILDING,2020
SEATTLE UNIVERSITY - Laundry Bldg (LDRY),2020
101 KING STREET,2020
ADMINISTRATION BUILDING - KING COUNTY,2020
KING STREET CENTER,2020
DOT 17G_01 1051 BUILDING,2020
MC KINNON FURNITURE,2020
GRAYBAR ELECTRIC,2020
Airport Way Ctr - Bldg A,2020
Seattle Lighting Distribution Center,2020
UPS WAREHOUSE,2020
MCKINSTRY HEADQUARTERS,2020
ATRIUM BLUILDING - SEATTLE DESIGN CENTER,2020
BLDG C NW CORP PARK,2020
6100 BUILDING,2020
WEST CORE RIVER STREET,2020
PIONEER HUMAN SERVICES,2020
CLOVERDALE BUSINESS PARK (BLDG D),2020
TARGET STORE,2020
UNIVERSITY VILLAGE NORTH (PARKING GARAGE/RETAIL/STORAGE),2020
QFC AND RITE AID DRUG STORE,2020
200 SW MICHIGAN,2020
NORTHGATE NORTH,2020
PORTSIDE DISTRIBUTION CENTER,2020
U.S. RUBBER BLDG.,2020
645 ELLIOTT - NORTH BUILDING,2020
WASHINGTON SHOE BUILDING,2020
SODO URBAN WORKS,2020
SEATTLE POTTERY,2020
PUGET SOUND -TERMINAL 7 B,2020
WEST LAKE UNION CENTER,2020
FIFTH & YESLER BLDG.,2020
RUSSELL HALL,2020
UNIVERSITY VILLAGE SHOPPING CENTER BLDG D,2020
GATZERT ELEMENTARY SCHOOL (SPS-DISTRICT),2020
NORFOLK INDUSTRIAL BUILDING,2020
98 NORFOLK,2020
SWEDISH MEDICAL CENTER FIRST HILL - Campus,2020
NW WORK LOFTS - Campus,2020
CHILDHAVEN,2020
600 BROADWAY,2020
Salal Credit Union Headquarters,2020
PEOPLES MINI-STORAGE,2020
SILVER CLOUD INN - BROADWAY,2020
MOPOP MUSEUM,2020
THE MAXWELL HOTEL - SEATTLE,2020
PUBLIC STORAGE (STORE 8501),2020
HOME DEPOT,2020
LESCHI ELEMENTARY SCHOOL (SPS-DISTRICT),2020
SEATTLE CENTRAL COLLEGE - VOCATIONAL SCHOOL (SVI),2020
STANFORD CENTER OFFICES (SPS-DISTRICT),2020
PUGET SOUND FREIGHT LINES-TERMINAL 7A,2020
JAMES TOWER (PROVIDENCE MEDICAL CENTER),2020
GEORGETOWN CENTER BLDG. 1 & BLDG. 3 - BLDG B,2020
HARBORVIEW MEDICAL CENTER - Pat Steel Building,2020
PUBLIC STORAGE (STORE 8458),2020
PEPSI BOTTLING GROUP,2020
LAFAYETTE ELEMENTARY SCHOOL (SPS-DISTRICT),2020
HARVARD MARKET (QFC Portion),2020
BMW SEATTLE - SHOWROOM & OFFICE,2020
FILSON WORLD HEADQUARTERS LP,2020
4545 15TH AVE NE,2020
TALLMAN BUILDING,2020
B DIVISION NO. 02 CONDOMINIUM,2020
BAGLEY LOFTS CONDOMINIUM,2020
PACIFIC POINTE APTS/RETAIL,2020
MAGNOLIA MANOR,2020
TRANSITIONAL CARE CENTER OF SEATTLE,2020
LAKEVIEW COURT,2020
VISTA POINT,2020
The MOD,2020
RALEIGH COURT APTS,2020
UNIVERSITY UNITARIAN CHURCH,2020
WEDGEWOOD ELEMENTARY (SPS-DISTRICT),2020
BALLARD CONDOMINIUM (1532 NW 56TH ST #CU),2020
SKYVIEW TERRACE APTS,2020
Julius Horton Building LLC,2020
